key,en,de
#,--- shared wording ---,
COMMON_LEVEL_N,Level %d,Level %d
COMMON_LEVEL_TITLE,Level %d · %dx%d · diff %d,Level %d · %dx%d · Schwierigkeit %d
COMMON_PTS,%d pts,%d Pkt.
COMMON_DECIMAL_SEP,".",","
COMMON_YOU,%s (you),%s (du)
COMMON_PROGRESS,%d / %d pts,%d / %d Pkt.
COMMON_PROGRESS_TO,%d / %d pts to %s,%d / %d Pkt. bis %s
MISTAKES_ZERO,flawless,fehlerfrei
MISTAKES_ONE,%d mistake,%d Fehler
MISTAKES_OTHER,%d mistakes,%d Fehler
ZONE_PROMOTE,promotion zone,Aufstiegszone
ZONE_RELEGATE,relegation zone,Abstiegszone
ZONE_SAFE,safe,sicher
#,--- countdowns and periods ---,
COOLDOWN_D_H,%dd %dh,%d T %d Std
COOLDOWN_H_M,%dh %dm,%d Std %d Min
COOLDOWN_M,%dm,%d Min
COOLDOWN_LT_1M,<1m,<1 Min
PERIOD_DAYS_ONE,%d day,%d Tag
PERIOD_DAYS_OTHER,%d days,%d Tage
PERIOD_HOURS_ONE,%d hour,%d Stunde
PERIOD_HOURS_OTHER,%d hours,%d Stunden
PERIOD_MINUTES_ONE,%d minute,%d Minute
PERIOD_MINUTES_OTHER,%d minutes,%d Minuten
#,--- league tiers (the ids stay english in the save file) ---,
TIER_BRONZE,Bronze,Bronze
TIER_SILVER,Silver,Silber
TIER_GOLD,Gold,Gold
TIER_PLATINUM,Platinum,Platin
TIER_DIAMOND,Diamond,Diamant
TIER_CHALLENGER,Challenger,Challenger
#,--- league rules (joined with a middot then capitalised) ---,
RULES_PROMO_SCORE,Reach %d points to promote,Erreiche %d Punkte für den Aufstieg
RULES_PROMO_SCORE_TO,Reach %d points to promote to %s,Erreiche %d Punkte für den Aufstieg nach %s
RULES_UP_N,Top %d promote,beste %d steigen auf
RULES_UP_N_TO,Top %d promote to %s,beste %d steigen nach %s auf
RULES_NO_SLOT,No slot open,kein Platz frei
RULES_NO_SLOT_IN,No slot open in %s,kein Platz frei in %s
RULES_UP_PCT,Top %d %% promote,beste %d %% steigen auf
RULES_DOWN_PCT,bottom %d %% relegate,letzte %d %% steigen ab
RULES_DOWN_FLOOR,relegation impossible,Abstieg unmöglich
RULES_DOWN_NONE,nobody relegates,niemand steigt ab
#,--- home screen ---,
HOME_TAGLINE,"One queen per row, column and colour. None may touch.","Eine Dame pro Zeile, Spalte und Farbe. Keine darf eine andere berühren."
HOME_STREAK,%d day streak,%d Tage in Folge
HOME_PICK_START,Pick how hard you want to start,"Wähle, wie schwer du starten willst"
HOME_LAST_GAME,Last game: Level %d · %s · diff %d,Letztes Spiel: Level %d · %s · Schwierigkeit %d
HOME_ALL_LEVELS,All levels,Alle Level
HOME_PLAY,Play,Spielen
HOME_PLAY_SIZE,Play %s,%s spielen
HOME_DIFF,diff %d,Schwierigkeit %d
HOME_COOLING,cooling down,gesperrt
HOME_START_EASY,Start easy,Leicht starten
HOME_LEAGUE_JOIN,Play a game to join this round,Spiel eine Runde und mach mit
HOME_LEAGUE_LINE,#%d of %d · %s · %d pts · ends in %s,#%d von %d · %s · %d Pkt. · endet in %s
HOME_LEAGUE_PROMO_LINE,#%d of %d · %s · ends in %s,#%d von %d · %s · endet in %s
LEAGUE_NAME,%s league,%s-Liga
STEP_EASIER,Easier,Leichter
STEP_SAME,Same,Gleich
STEP_HARDER,Harder,Schwerer
HOME_OPT_ALL_COOLING,All cooling down,Alle gesperrt
HOME_OPT_NO_HARDER,No harder level free,Nichts Schwereres frei
HOME_OPT_NO_EASIER,No easier level free,Nichts Leichteres frei
HOME_OPT_NEAREST,Closest available level,Nächstes freies Level
#,--- game screen ---,
GAME_LEVEL_TITLE,Level %d · %s · diff %d,Level %d · %s · Schwierigkeit %d
GAME_HINT_DEFAULT,"Tap to mark X, tap again for a queen. Drag to mark many.","Tippen setzt ein X, nochmal tippen eine Dame. Ziehen markiert mehrere."
GAME_HINT,Hint,Tipp
GAME_HINT_N,Hint · %d,Tipp · %d
GAME_CLEAR,Clear,Leeren
#,--- hints ---,
HINT_NONE,Nothing left to hint.,Hier gibt es nichts mehr zu verraten.
HINT_NONE_ENCOURAGE,Nothing left to hint. You're almost there!,Hier gibt es nichts mehr zu verraten. Du hast es fast!
HINT_WRONG_QUEEN,This queen can't be right. Tap it to remove it.,"Diese Dame kann nicht stimmen. Tipp sie an, um sie zu entfernen."
HINT_WRONG_MARK,One of your X marks is wrong. Tap it to clear it.,"Eines deiner X ist falsch. Tipp es an, um es zu löschen."
HINT_SINGLE_ROW,Only one spot left in this row.,In dieser Zeile ist nur noch ein Feld möglich.
HINT_SINGLE_COL,Only one spot left in this column.,In dieser Spalte ist nur noch ein Feld möglich.
HINT_SINGLE_REGION,Only one spot left in this region.,In diesem Bereich ist nur noch ein Feld möglich.
HINT_CONFINED_ROW,"This region's queen must be in this row, so the rest of the row is out.","Die Dame dieses Bereichs muss in diese Zeile, also fällt der Rest der Zeile weg."
HINT_CONFINED_COL,"This region's queen must be in this column, so the rest of the column is out.","Die Dame dieses Bereichs muss in diese Spalte, also fällt der Rest der Spalte weg."
HINT_REVEAL,Try a queen here.,Versuch hier eine Dame.
#,--- pause menu ---,
PAUSE_TITLE,Paused,Pause
PAUSE_SUBTITLE,Level %d · %s · %s,Level %d · %s · %s
PAUSE_RESUME,Resume,Weiter
PAUSE_RESTART,Restart level,Level neu starten
PAUSE_SETTINGS,Settings,Einstellungen
PAUSE_GIVE_UP,Give up,Aufgeben
#,--- dialogs ---,
DIALOG_OK,OK,OK
DIALOG_CANCEL,Cancel,Abbrechen
DIALOG_RESTART_TITLE,Restart level?,Level neu starten?
DIALOG_RESTART_BODY,The board is wiped. The clock keeps running.,Das Feld wird geleert. Die Uhr läuft weiter.
DIALOG_RESTART_OK,Restart,Neu starten
DIALOG_RESTART_CANCEL,Keep going,Weiterspielen
DIALOG_GIVE_UP_TITLE,Give up?,Aufgeben?
DIALOG_GIVE_UP_BODY,Giving up ends this game and locks the level for %s.,Aufgeben beendet das Spiel und sperrt das Level für %s.
DIALOG_GIVE_UP_OK,Give up,Aufgeben
DIALOG_GIVE_UP_CANCEL,Keep playing,Weiterspielen
DIALOG_LOCKED_TITLE,Level locked,Level gesperrt
DIALOG_LOCKED_BODY,You played this level recently. It unlocks in %s.,Du hast dieses Level vor Kurzem gespielt. Es wird in %s wieder frei.
DIALOG_ALL_COOLING_TITLE,All levels cooling down,Alle Level gesperrt
DIALOG_ALL_COOLING_BODY,The next level unlocks in %s.,Das nächste Level wird in %s frei.
#,--- toasts ---,
TOAST_ENERGY_ADDED,+%d energy,+%d Energie
TOAST_UNLIMITED,Unlimited energy unlocked,Unbegrenzte Energie freigeschaltet
TOAST_TUTORIAL_DONE,You're ready. Have fun!,Du bist bereit. Viel Spaß!
TOAST_ALL_HARDER_COOLING,Every harder level is cooling down. Try Same or Easier.,Alle schwereren Level sind gesperrt. Versuch Gleich oder Leichter.
TOAST_ALL_EASIER_COOLING,Every easier level is cooling down. Try Same or Harder.,Alle leichteren Level sind gesperrt. Versuch Gleich oder Schwerer.
TOAST_FRIEND_ADDED,Added %s,%s hinzugefügt
TOAST_RENAMED,You are now %s,Du heißt jetzt %s
#,--- energy sheet ---,
SHOP_TITLE,Energy,Energie
SHOP_EXPLAIN,Every game you start costs one energy.,Jedes Spiel kostet eine Energie.
SHOP_EXPLAIN_UNLIMITED,Unlimited energy: play as much as you like.,Unbegrenzte Energie: spiel so viel du willst.
SHOP_BLOCKED,You need 1 energy to play. Watch an ad or go unlimited.,Du brauchst 1 Energie zum Spielen. Schau Werbung oder hol dir unbegrenzt.
SHOP_WATCH_AD,Watch an ad · +%d,Werbung ansehen · +%d
SHOP_NO_AD,No ad right now,Gerade keine Werbung
SHOP_UNLIMITED,Unlimited · %s,Unbegrenzt · %s
SHOP_RESTORE,Restore purchase,Kauf wiederherstellen
SHOP_STATUS_LOADING_AD,Loading ad…,Werbung wird geladen…
SHOP_STATUS_CONTACTING,Contacting the store…,Verbinde mit dem Store…
SHOP_STATUS_RESTORING,Restoring…,Wiederherstellen…
SHOP_STATUS_THANKS,Thanks! Energy added.,Danke! Energie gutgeschrieben.
SHOP_STATUS_NO_REWARD,No reward this time.,Diesmal ohne Belohnung.
SHOP_STATUS_UNLIMITED,Unlimited energy unlocked.,Unbegrenzte Energie freigeschaltet.
SHOP_STATUS_RESTORED,Purchase restored.,Kauf wiederhergestellt.
SHOP_STATUS_NOTHING,Nothing to restore.,Nichts wiederherzustellen.
SHOP_AD_PLAYING,Ad playing…,Werbung läuft…
SHOP_AD_PLAYING_FAKE,Fake ad playing… %d,Test-Werbung läuft… %d
#,--- level overview and level detail ---,
LEVELS_TITLE,All levels,Alle Level
LEVELS_FILTER_ALL,All,Alle
LEVELS_CARD_META,%s · diff %d,%s · Schwierigkeit %d
LEVELS_NOT_PLAYED,Not played yet,Noch nicht gespielt
DETAIL_BEST_SCORE,Best %s · %s,Bester %s · %s
DETAIL_BEST_TIME,Best %s,Beste %s
DETAIL_META,Difficulty %d · par %s · %d players,Schwierigkeit %d · Par %s · %d Spieler
DETAIL_MINE,Your best: %s · %s · %s · #%d,Dein Bestwert: %s · %s · %s · #%d
DETAIL_PLAY,Play this level,Dieses Level spielen
DETAIL_UNLOCKS_IN,Unlocks in %s,Frei in %s
